x,y,z,F
-293.8120422,6351.360352,-404.397583,9.804450942616846
-353.4564514,6351.360352,-353.4564514,9.804406462291865
-404.397583,6351.360352,-293.8120422,9.804362191949581
-445.3811035,6351.360352,-226.9330139,9.80432256488425
-475.3978577,6351.360352,-154.4661255,9.80429157837811
-493.7087708,6351.360352,-78.19578552,9.804272377334419
-499.8628845,6351.360352,-1.22E-13,9.80426699143369
-996.6439819,6292.5625,0,9.804266793976897
-984.3736572,6292.5625,155.9094696,9.804299196091112
-947.8647461,6292.5625,307.9799194,9.80438618720002
-888.0162964,6292.5625,452.4668884,9.8045194585493
-806.3019409,6292.5625,585.8126221,9.804686216987715
-704.7337036,6292.5625,704.7337036,9.804870381720175
-585.8126221,6292.5625,806.3019409,9.805054082533623
-452.4668884,6292.5625,888.0162964,9.805219567054262
-307.9799194,6292.5625,947.8647461,9.805350767560926
-155.9094696,6292.5625,984.3736572,9.805434937492532
-6.10E-14,6292.5625,996.6439819,9.805463944498676
155.9094696,6292.5625,984.3736572,9.805434937492532
307.9799194,6292.5625,947.8647461,9.805350767560926
452.4668884,6292.5625,888.0162964,9.805219567054262
585.8126221,6292.5625,806.3019409,9.805054082533623
704.7337036,6292.5625,704.7337036,9.804870381720175
806.3019409,6292.5625,585.8126221,9.804686216987715
888.0162964,6292.5625,452.4668884,9.8045194585493
947.8647461,6292.5625,307.9799194,9.80438618720002
984.3736572,6292.5625,155.9094696,9.804299196091112
996.6439819,6292.5625,1.22E-13,9.804266793976897
984.3736572,6292.5625,-155.9094696,9.804291869796495
947.8647461,6292.5625,-307.9799194,9.80437175706027
888.0162964,6292.5625,-452.4668884,9.804498354817042
806.3019409,6292.5625,-585.8126221,9.804659050789096
704.7337036,6292.5625,-704.7337036,9.804837910063616
585.8126221,6292.5625,-806.3019409,9.805017170466858
452.4668884,6292.5625,-888.0162964,9.805179152093958
307.9799194,6292.5625,-947.8647461,9.80530783036562
155.9094696,6292.5625,-984.3736572,9.80539048087665
1.83E-13,6292.5625,-996.6439819,9.805418980611131
-155.9094696,6292.5625,-984.3736572,9.80539048087665
-307.9799194,6292.5625,-947.8647461,9.80530783036562
-452.4668884,6292.5625,-888.0162964,9.805179152093958
-585.8126221,6292.5625,-806.3019409,9.805017170466858
-704.7337036,6292.5625,-704.7337036,9.804837910063616
-806.3019409,6292.5625,-585.8126221,9.804659050789096
-888.0162964,6292.5625,-452.4668884,9.804498354817042
-947.8647461,6292.5625,-307.9799194,9.80437175706027
